osm_id,latitude,longitude,name,shop_type,amenity,opening_hours
11286301270,-0.1045231,34.7521472,Viu Travel,travel_agency,,
11396035095,-0.1067894,34.7701018,silentnight,bed,,
11413254433,-0.098606,34.7625446,Lintons,beauty,,
11413254434,-0.0984447,34.7624288,Textbook Center,books,,
11459528275,-0.0984451,34.7627136,Vivo,mobile_phone,,
11459528276,-0.1064729,34.7704491,Carpet City,carpet,,
12876890560,-0.1462188,34.8051518,Builders Superstore,doityourself,,Mo-Fr 09:00-17:00
12894393845,-0.1014786,34.7522959,umoja,shoes,,
12894393846,-0.0984638,34.7628343,umoja,shoes,,
12898676206,-0.1043271,34.7522637,umoja,shoes,,
13647314920,-0.0811364,34.7746317,,second_hand,,
13658597825,-0.0828437,34.7748432,city mart electricals kondele,electrical,,
13711811503,-0.0743815,34.6950314,Montezumaonalisa funeral home,funeral_directors,,
13714210033,-0.1390865,34.7975243,pepsi,wholesale,,
13714210034,-0.1393333,34.7976026,Jambo mabati,hardware,,
13714210035,-0.1331397,34.7949545,Isuzu service center,car_repair,,
13714210038,-0.1388046,34.7974169,gypsum ceiling supplies,tiles,,
13714210045,-0.1532883,34.8288615,Rabuor gen mart,wholesale,,
13714210047,-0.1223524,34.7908722,Jumbo steel mills,hardware,,
13714403360,-0.0758255,34.7995764,Buffalo bicycles,bicycle,,
13733945080,-0.1065221,34.7700428,China square,department_store,,
13749616722,-0.0954578,34.7676872,tuffoam limited factory outlet,wholesale,,
13749654037,-0.0920758,34.7614069,taji,water,shop,
13749654038,-0.0977095,34.7554512,jaaria mini mart,supermarket,,
13749654039,-0.0920593,34.7615096,keki Na taji,bakery,shop,
